ROW,SEX,AGE,HEIGHT,WEIGHT
1,f,14.3,56.3,85
2,f,15.5,62.3,105
3,f,15.3,63.3,108
4,f,16.1,59,92
5,f,19.1,62.5,112.5
6,f,17.1,62.5,112
7,f,18.5,59,104
8,f,14.2,56.5,69
9,f,16,62,94.5
10,f,14,53.8,68.5
11,f,13.9,61.5,104
12,f,17.8,61.5,103.5
13,f,15.7,64.5,123.5
14,f,14.9,58.3,93
15,f,14.3,51.3,50.5
16,f,14.5,58.8,89
17,f,19.1,65.3,107
18,f,15,59.5,78.5
19,f,14.7,61.3,115
20,f,18,63.3,114
21,f,14.1,61.8,85
22,f,14,53.5,81
23,f,16.4,58,83.5
24,f,17.6,61.3,112
25,f,18.5,63.3,101
26,f,16.6,61.5,103.5
27,f,17.5,60.8,93.5
28,f,18,59,112
29,f,21,65.5,140
30,f,14.6,56.3,83.5
31,f,17,64.3,90
32,f,16.2,58,84
33,f,14.9,64.3,110.5
34,f,13.9,57.5,96
35,f,18.6,57.8,95
36,f,19.7,61.5,121
37,f,16.9,62.3,99.5
38,f,17.7,61.8,142.5
39,f,18.5,65.3,118
40,f,18.2,58.3,104.5
41,f,17.3,62.8,102.5
42,f,16.6,59.3,89.5
43,f,16.8,61.5,95
44,f,16.9,62,98.5
45,f,15,61.3,94
46,f,18.4,62.3,108
47,f,13.9,52.8,63.5
48,f,14.7,59.8,84.5
49,f,14.4,59.5,93.5
50,f,17.7,61.3,112
51,f,17.8,63.5,148.5
52,f,19.7,64.8,112
53,f,14.6,60,109
54,f,14.5,59,91.5
55,f,14.7,55.8,75
56,f,14.5,57.8,84
57,f,15.5,61.3,107
58,f,16.7,62.3,92.5
59,f,18.3,64.3,109.5
60,f,14.3,55.5,84
61,f,18.3,64.5,102.5
62,f,18.5,60,106
63,f,14.8,56.3,77
64,f,14.7,58.3,111.5
65,f,15.4,60,114
66,f,15.6,54.5,75
67,f,14.4,55.8,73.5
68,f,15.4,62.8,93.5
69,f,15.2,60.5,105
70,f,19.1,63.3,113.5
71,f,19,66.8,140
72,f,14,60,77
73,f,14.8,60.5,84.5
74,f,18.9,64.3,113.5
75,f,14.3,58.3,77.5
76,f,17.8,66.5,117.5
77,f,16.4,65.3,98
78,f,15.7,60.5,112
79,f,14.7,59.5,101
80,f,14.8,59,95
81,f,17.7,61.3,81
82,f,17.1,61.5,91
83,f,17.2,64.8,142
84,f,19,56.8,98.5
85,f,18.3,66.5,112
86,f,14.3,61.5,116.5
87,f,17.9,63,98.5
88,f,18.6,57,83.5
89,f,18.2,65.5,133
90,f,18.2,62,91.5
91,f,14.2,56,72.5
92,f,16.5,61.3,106.5
93,f,16.5,55.5,67
94,f,15.4,61,122.5
95,f,15,54.5,74
96,f,15.5,66,144.5
97,f,16.3,56.5,84
98,f,14.1,56,72.5
99,f,14.7,51.5,64
100,f,21,62,116
101,f,17.1,63,84
102,f,16.7,61,93.5
103,f,18.2,64,111.5
104,f,14.4,61,92
105,f,19.3,59.8,115
106,f,14.1,61.3,85
107,f,16.4,63.3,108
108,f,18.6,63.5,108
109,f,16.9,61.5,85
110,f,17.5,60.3,86
111,f,18,61.3,110.5
112,m,16.5,64.8,98
113,m,15.7,60.5,105
114,m,14.4,57.3,76.5
115,m,15,59.5,84
116,m,15,60.8,128
117,m,13.9,60.5,87
118,m,18.9,67,128
119,m,18.3,64.8,111
120,m,14.7,50.5,79
121,m,14.6,57.5,90
122,m,16,60.5,84
123,m,15.6,61.8,112
124,m,17.3,61.3,93
125,m,15.1,66.3,117
126,m,14.1,53.3,84
127,m,15,59,99.5
128,m,16.4,57.8,95
129,m,15.3,60,84
130,m,20.6,68.3,134
131,m,25,67.5,171.5
132,m,17.6,63.8,98.5
133,m,17.6,65,118.5
134,m,14,59.5,94.5
135,m,18.5,66,105
136,m,18,61.8,104
137,m,14.6,57.3,83
138,m,18.3,66,105.5
139,m,14,56.5,84
140,m,15.1,58.3,86
141,m,15.1,61,81
142,m,14.4,62.8,94
143,m,16,59.3,78.5
144,m,17.8,67.3,119.5
145,m,19.3,66.3,133
146,m,16.2,64.5,119
147,m,16.4,60.5,95
148,m,18.6,66,112
149,m,14.3,57.5,75
150,m,17.5,64,92
151,m,17.5,68,112
152,m,17.5,63.5,98.5
153,m,17.3,69,112.5
154,m,17,63.8,112.5
155,m,17.4,66,108
156,m,16.4,63.5,108
157,m,14.4,59.5,88
158,m,15.6,66.3,106
159,m,14.9,57,92
160,m,14.4,60,117.5
161,m,14.7,57,84
162,m,18.8,67.3,112
163,m,16.9,62,100
164,m,17.2,65,112
165,m,15,59.5,84
166,m,19.3,67.8,127.5
167,m,15.7,58,80.5
168,m,16.8,60,93.5
169,m,14,58.5,86.5
170,m,15.6,58.3,92.5
171,m,15.6,61.5,108.5
172,m,15.8,65,121
173,m,18.4,66.5,112
174,m,15.6,68.5,114
175,m,14.4,57,84
176,m,17.6,61.5,81
177,m,16.8,66.5,111.5
178,m,14.9,52.5,81
179,m,14.2,55,70
180,m,18.8,71,140
181,m,20.3,66.5,117
182,m,14.2,58.8,84
183,m,18.9,66.3,112
184,m,18.8,65.8,150.5
185,m,20,71,147
186,m,15.2,59.5,105
187,m,17.4,69.8,119.5
188,m,16.6,62.5,84
189,m,14.5,56.5,91
190,m,14.3,57.5,101
191,m,16.3,65.3,117.5
192,m,16.6,67.3,121
193,m,18.2,67,133
194,m,17.3,66,112
195,m,15.5,61.8,91.5
196,m,16.2,60,105
197,m,17.7,63,111
198,m,17.7,60.5,112
199,m,17.5,65.5,114
200,m,16.6,62,91
201,m,15,59,98
202,m,15,61.8,118
203,m,18.8,63.3,115.5
204,m,16.3,66,112
205,m,17.1,61.8,112
206,m,16.2,63,91
207,m,14.1,57.5,85
208,m,17.4,63,112
209,m,14.2,56,87.5
210,m,14.8,60.5,118
211,m,14,56.8,83.5
212,m,16,64,116
213,m,14.4,60,89
214,m,20.6,69.5,171.5
215,m,15.9,63.3,112
216,m,14.9,56.3,72
217,m,19.3,72,150
218,m,19.4,65.3,134.5
219,m,15.2,60.8,97
220,m,14.6,55,71.5
221,m,13.9,55,73.5
222,m,18.6,66.5,112
223,m,16.1,56.8,75
224,m,15.3,64.8,128
225,m,19.6,64.5,98
226,m,16.4,58,84
227,m,15.9,62.8,99
228,m,17.8,63.8,112
229,m,15.3,57.8,79.5
230,m,15.5,57.3,80.5
231,m,17.8,63.5,102.5
232,m,14.2,55,76
233,m,16.4,66.5,112
234,m,18.9,65,114
235,m,16.4,61.5,140
236,m,16.7,62,107.5
237,m,15.1,59.3,87